Species,Region,ExcretionRate
dairyCows,Africa,0.6
dairyCows,Asia,0.34
dairyCows,LatinAmerica,0.36
OtherCattle,Africa,0.63
OtherCattle,Asia,0.34
OtherCattle,LatinAmerica,0.36
Swine,Africa,1.64
Swine,Asia,0.5
Swine,LatinAmerica,1.64
SwineMarket,Africa,1.57
SwineMarket,Asia,0.42
SwineMarket,LatinAmerica,1.57
SwineBreeding,Africa,0.55
SwineBreeding,Asia,0.24
SwineBreeding,LatinAmerica,0.55
Sheep,Africa,1.17
Sheep,Asia,1.17
Sheep,LatinAmerica,1.17
Goats,Africa,1.37
Goats,Asia,1.37
Goats,LatinAmerica,1.37
