Species,Region,Mass,B0,VS,lagoon_perc,Liquid slurry_perc,Solid storage_perc,Dry lot_perc,Pasture_perc,Pit_perc_min1,Pit_perc_more1,Daily spread_perc,Digester_perc,Burned for fuel_perc,Other_perc
dairyCows,Africa,275,0.13,1.9,0,0,1,0,83,,,5,0,6,4
dairyCows,Asia,350,0.13,2.8,4,38,0,0,20,,,29,2,7,0
dairyCows,Latin America,400,0.13,2.9,0,1,1,0,36,,,62,0,0,0
Othercattle,Africa,173,0.1,1.5,0,0,0,1,95,,,1,0,3,0
Othercattle,Asia,319,0.1,2.3,0,0,0,46,50,,,2,0,2,0
Othercattle,Latin America,305,0.1,2.5,0,0,0,0,99,,,0,0,0,1
Market swine,Africa,28,0.29,0.3,0,6,6,87,,1,0,0,0,,0
Market swine,Asia,28,0.29,0.3,0,40,0,54,,0,0,0,7,,0
Market swine,Latin America,28,0.29,0.3,0,8,10,41,,0,0,2,0,,40
Breeding swine,Africa,28,0.29,0.3,0,6,6,87,,1,0,0,0,,0
Breeding swine,Asia,28,0.29,0.3,0,40,0,54,,0,0,0,7,,0
Breeding swine,Latin America,28,0.29,0.3,0,8,10,41,,0,0,2,0,,40
Sheep,developed,48.5,0.19,0.4,,,,,,,,,,,
Sheep,developing,28,0.13,0.32,,,,,,,,,,,
Goat,developed,38.5,0.18,0.3,,,,,,,,,,,
Goat,developing,30,0.13,0.35,,,,,,,,,,,
