Climate region,HAC soils,LAC soils,Sandy soils,Spodic soils,Volcanic soils,Wetland soils
"Boreal, dry",68,28.5,10,117,20,146
"Boreal, wet",68,74,10,117,20,146
"Boreal, moist",68,74,10,117,20,146
"Cold temperate, dry",50,33,34,116,20,87
"Cold temperate, moist",95,85,71,115,130,87
"Cold temperate, wet",95,85,71,115,130,87
"Warm temperate, dry",38,24,19,116,70,88
"Warm temperate, moist",88,63,34,116,80,88
"Warm temperate, wet",88,63,34,116,80,88
"Tropical, dry",38,35,31,116,50,86
"Tropical, moist",65,47,39,116,70,86
"Tropical, wet",44,60,66,116,130,86
Tropical montane,88,63,34,116,80,86
