,,dual purpose dairy,,,,dual purpose fattening and rearing,,,,draft animal ,,,,specialized dairy system,,,,Sheep,,,improved crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description ,,base run,,,,base run,,,,base run,,,,base run,,,,base run,,,,base run,improved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,DDvar,DD0,DD1,DD2,DFvar,DF0,DF1,DF2,DAvar,DA0,DA1,DA2,SDvar,SD0,SD1,SD2,SHvar,SH0,SH1,SH2,Crvar,Cr0,Cr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive weight  (kg),lwes,150,175,175,lwsis,150,160,160,lwda,150,160,0,lwis,210,250,0,lwsh,25,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk production (kg/cow/year) ,myes,1100,1800,1800,mysis,0,0,0,myda,0,0,0,myis,2200,2500,0,mysh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dressing percentage ,des,0.3,0.3,0.3,dsis,0.5,0.6,0.6,dda,0.4,0.4,0,dis,0,0,0,dsh,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed basket dry season ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural grass ,efng1,40,0,0,sfng1,40,0,0,dafng1,40,20,0,ifng1,0,0,0,shfng1,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cereal crop residue ,efrc1,5,5,0,sfrc1,5,10,5,dafrc1,10,5,0,ifrc1,10,5,0,shfrc1,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice crop residue ,efrr1,0,0,0,sfrr1,0,0,0,dafrr1,0,0,0,ifrr1,0,0,0,shfrr1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legume crop residue,efrl1,0,0,0,sfrl1,0,0,0,dafrl1,0,0,0,ifrl1,0,0,0,shfrl1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planted fodder ,efpf1,0,15,0,sfpf1,0,10,0,dafpf1,0,0,0,ifpf1,0,10,0,shfpf1,0,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentrate – bran ,efconc1,10,15,25,sfconc1,10,10,15,dafconc1,5,10,0,ifconc1,25,30,0,shfconc1,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentrate – oil seed cake,efconos1,5,10,15,sfconos1,5,10,15,dafconos1,5,5,0,ifconos1,25,30,0,shfconos1,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hay,efhay1,40,55,60,sfhay1,40,60,65,dafhay1,40,60,0,ifhay1,40,25,0,shfhay1,35,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
