,,dual purpose dairy,,,,dual purpose fattening and rearing,,,,draft animal ,,,,specialized dairy system,,,,Sheep,,,improved crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description ,,base run,,,,base run,,,,base run,,,,base run,,,,base run,,,,base run,improved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,DDvar,DD0,DD1,DD2,DFvar,DF0,DF1,DF2,DAvar,DA0,DA1,DA2,SDvar,SD0,SD1,SD2,SHvar,SH0,SH1,SH2,Crvar,Cr0,Cr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive weight  (kg),lwes,150,,,lwsis,140,,,lwda,150,,,lwis,190,,,lwsh,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk production (kg/cow/year) ,myes,1100,,,mysis,0,,,myda,0,,,myis,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dressing percentage ,des,0.3,,,dsis,0.5,,,dda,0.4,,,dis,0,,,dsh,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed basket dry season ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural grass ,efng1,40,0,,sfng1,40,0,,dafng1,40,0,,ifng1,0,0,,shfng1,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cereal crop residue ,efrc1,5,50,,sfrc1,5,20,,dafrc1,10,50,,ifrc1,15,20,,shfrc1,10,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice crop residue ,efrr1,0,0,,sfrr1,0,0,,dafrr1,0,0,,ifrr1,0,0,,shfrr1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legume crop residue,efrl1,0,0,,sfrl1,0,0,,dafrl1,0,0,,ifrl1,0,0,,shfrl1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planted fodder ,efpf1,0,30,,sfpf1,0,40,,dafpf1,0,30,,ifpf1,0,20,,shfpf1,0,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentrate – bran ,efconc1,10,15,,sfconc1,10,30,,dafconc1,5,15,,ifconc1,35,30,,shfconc1,5,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentrate – oil seed cake,efconos1,5,5,,sfconos1,5,10,,dafconos1,5,5,,ifconos1,35,20,,shfconos1,5,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hay,efhay1,40,0,,sfhay1,40,0,,dafhay1,40,0,,ifhay1,20,10,,shfhay1,35,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silage ,efsil1,0,0,,sfsil1,0,0,,dafsil1,0,0,,ifsil1,0,0,,shfsil1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
