Group,DD_vignette,DD_animals,DF_vignette,DF_animals,DA_vignette,DA_animals,SD_vignette,SD_animals,SH_vignette,SH_animals
base ,0,22000,0,19000,0,10000,0,500,0,100000
Pink,1,8000,1,6000,1,5000,1,5000,1,95000
Yellow3,2,10000,2,10000,1,6000,1,13000,2,140000
Yellow1,2,5000,2,5000,1,6000,1,23000,2,140000
Yellow2,2,5000,2,5000,1,6000,1,23000,2,92000
Yellow4,2,5000,2,5000,1,6000,1,18000,2,165000
Green,2,5000,2,10000,1,3000,1,10500,2,70000
Blue1,2,8000,1,19000,1,5000,1,3000,1,50000
Blue2,1,8000,2,3000,1,5000,1,3000,2,70000
Orange,1,12000,2,34000,1,5000,1,12500,1,100000
Womenstart,1,10000,1,6000,1,5000,1,10000,1,100000
Women1,1,10000,1,9000,1,5000,1,15000,1,150000
Women2,1,6000,2,9000,1,5000,1,14000,2,100000
Women3,1,6000,1,15000,1,3000,1,14000,1,120000
MenBlackstart,2,8000,2,10000,1,5000,1,12000,2,70000
MenBlack1,2,8000,2,10000,1,5000,1,12000,1,70000
MenBlack2,2,8000,2,5000,1,5000,1,12000,2,95000
MenRedstart,1,10000,2,25000,1,5000,1,5000,1,140000
MenRedRun1,1,5000,2,25000,1,5000,1,10000,1,140000
MenRedRun2,1,7000,2,25000,1,5000,1,65000,1,140000
MenRedRun3,1,9000,2,25000,1,5000,1,6000,1,140000
